               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.081573,            0.026879,            0.054289,             0.18574,             0.28129,               0.183,            0.086214,            0.038019,           0.0098293,            0.027977,            0.070222,           0.0033086,           0.0033086
                   1,            0.053094,            0.020287,            0.041001,             0.31731,              0.5917,             0.36805,             0.18903,            0.029709,           0.0070859,            0.022252,            0.040091,           0.0065105,           0.0065105
                   2,            0.049366,            0.017743,            0.035982,             0.61277,             0.68169,             0.62876,                0.29,            0.032385,           0.0062253,            0.018836,           0.0098272,           0.0095803,           0.0095803
                   3,            0.046076,             0.01605,            0.029651,             0.73958,             0.73848,             0.76326,             0.36176,            0.032088,           0.0063844,            0.011393,            0.009406,            0.009406,            0.009406
                   4,            0.043824,            0.015672,            0.024907,             0.78619,             0.76155,             0.76637,              0.3154,            0.029274,           0.0061107,            0.010362,            0.009406,            0.009406,            0.009406
                   5,            0.040953,            0.015544,            0.023665,             0.66804,              0.5524,             0.58015,             0.31006,            0.027481,           0.0070394,            0.011846,            0.009208,            0.009208,            0.009208
                   6,            0.038571,            0.015266,            0.021253,             0.85044,             0.77895,             0.86293,             0.52852,            0.024534,           0.0057814,            0.011046,             0.00901,             0.00901,             0.00901
                   7,            0.039518,            0.014583,            0.021036,             0.82695,             0.73069,             0.79273,               0.493,            0.026895,           0.0061414,            0.010392,            0.008812,            0.008812,            0.008812
                   8,            0.037827,            0.014808,            0.019855,             0.67594,             0.77615,             0.73094,             0.41858,            0.024725,           0.0057349,           0.0078826,            0.008614,            0.008614,            0.008614
                   9,            0.036393,            0.013854,            0.018165,               0.832,             0.80565,             0.83493,             0.55675,            0.023956,           0.0053221,            0.008134,            0.008416,            0.008416,            0.008416
                  10,            0.036708,            0.013646,            0.017904,             0.83937,             0.82608,             0.87019,             0.55604,            0.022303,           0.0056625,           0.0071803,            0.008218,            0.008218,            0.008218
                  11,            0.036456,            0.014163,            0.017893,             0.85666,             0.79848,             0.86363,             0.51565,            0.023266,           0.0053757,           0.0077086,             0.00802,             0.00802,             0.00802
                  12,            0.034399,            0.013028,            0.017362,              0.8797,             0.77281,             0.85681,             0.53527,            0.022135,           0.0053833,           0.0079321,            0.007822,            0.007822,            0.007822
                  13,            0.034598,            0.013372,            0.016272,             0.85228,             0.85747,             0.87812,             0.56649,            0.020745,           0.0051897,            0.007963,            0.007624,            0.007624,            0.007624
                  14,            0.032725,            0.013036,            0.016436,             0.81483,             0.78228,             0.82392,               0.523,            0.021169,           0.0051515,           0.0089392,            0.007426,            0.007426,            0.007426
                  15,             0.03175,            0.012925,            0.015834,             0.82652,              0.8213,             0.85204,             0.51287,            0.020656,           0.0052064,           0.0078878,            0.007228,            0.007228,            0.007228
                  16,             0.03276,            0.012496,            0.014907,             0.90179,             0.88042,             0.91377,             0.65852,            0.020592,           0.0049834,           0.0061934,             0.00703,             0.00703,             0.00703
                  17,            0.030671,            0.012653,            0.015004,             0.85905,             0.78089,              0.8655,             0.61537,            0.020423,           0.0050808,           0.0069458,            0.006832,            0.006832,            0.006832
                  18,            0.030961,            0.012404,            0.015135,             0.86042,             0.88632,             0.90029,             0.60937,            0.020832,           0.0051189,           0.0066544,            0.006634,            0.006634,            0.006634
                  19,            0.030973,            0.012572,            0.013436,             0.78345,             0.81634,             0.82893,             0.53606,            0.019021,           0.0048832,           0.0067275,            0.006436,            0.006436,            0.006436
                  20,            0.029552,            0.012153,             0.01464,             0.82191,             0.82377,             0.81973,              0.5423,            0.020194,           0.0046957,           0.0086242,            0.006238,            0.006238,            0.006238
                  21,            0.029706,            0.011935,            0.014393,              0.8836,             0.87137,              0.8695,             0.61329,            0.020487,           0.0047588,           0.0086797,             0.00604,             0.00604,             0.00604
                  22,            0.029959,            0.012072,            0.011493,             0.85196,             0.87495,             0.88182,             0.63398,            0.020869,           0.0049655,           0.0071136,            0.005842,            0.005842,            0.005842
                  23,            0.029065,            0.011882,            0.012303,             0.87375,             0.88563,             0.92109,             0.61963,            0.018588,           0.0049228,           0.0062087,            0.005644,            0.005644,            0.005644
                  24,            0.028245,            0.011803,            0.011764,              0.9044,             0.85024,             0.88393,              0.6305,             0.01994,           0.0048492,           0.0087957,            0.005446,            0.005446,            0.005446
                  25,            0.028273,            0.011532,            0.011645,             0.91336,             0.87043,             0.89241,             0.65232,            0.021591,            0.004878,           0.0070021,            0.005248,            0.005248,            0.005248
                  26,            0.028324,            0.011682,            0.012412,             0.90645,             0.86677,             0.88729,             0.63621,            0.019353,           0.0048059,           0.0066058,             0.00505,             0.00505,             0.00505
                  27,            0.028228,            0.011291,            0.011322,             0.88225,             0.85126,               0.894,             0.63111,            0.019648,           0.0052243,           0.0066106,            0.004852,            0.004852,            0.004852
                  28,            0.027624,            0.011429,            0.011427,              0.8913,             0.86349,             0.90084,             0.63353,            0.018877,           0.0052906,            0.009892,            0.004654,            0.004654,            0.004654
                  29,            0.027943,            0.011227,              0.0113,             0.84995,             0.86579,             0.90057,             0.62834,            0.021514,           0.0049272,           0.0086632,            0.004456,            0.004456,            0.004456
                  30,             0.02629,            0.011212,            0.010239,             0.87978,             0.89155,             0.89521,             0.65219,            0.019873,           0.0050276,           0.0096893,            0.004258,            0.004258,            0.004258
                  31,            0.026986,            0.011385,            0.010222,             0.89013,             0.86786,             0.91747,             0.68429,            0.018118,           0.0046713,           0.0064348,             0.00406,             0.00406,             0.00406
                  32,            0.026818,            0.010899,            0.010052,             0.87854,             0.90977,             0.90937,             0.64738,            0.019038,           0.0048916,           0.0069564,            0.003862,            0.003862,            0.003862
                  33,            0.026016,            0.011077,           0.0099498,             0.89309,              0.9077,             0.89529,             0.65466,            0.018542,           0.0048036,           0.0068036,            0.003664,            0.003664,            0.003664
                  34,             0.02587,            0.010948,           0.0091749,             0.87194,             0.86442,             0.87833,             0.63588,            0.019152,           0.0049878,            0.010551,            0.003466,            0.003466,            0.003466
                  35,            0.025451,            0.011056,           0.0090623,             0.90034,             0.88979,             0.92002,             0.65662,             0.01855,           0.0045467,           0.0061787,            0.003268,            0.003268,            0.003268
                  36,            0.025781,            0.010688,           0.0088141,              0.9408,             0.87039,             0.93142,             0.70292,            0.017279,           0.0048708,           0.0064274,             0.00307,             0.00307,             0.00307
                  37,             0.02518,            0.010889,           0.0079755,             0.89369,             0.85733,             0.91501,             0.66029,            0.018106,           0.0047304,           0.0088734,            0.002872,            0.002872,            0.002872
                  38,             0.02504,            0.010753,           0.0083176,             0.90995,             0.86809,             0.92875,             0.67246,            0.018786,           0.0047172,           0.0075886,            0.002674,            0.002674,            0.002674
                  39,              0.0249,            0.010333,           0.0081018,             0.87354,             0.88409,             0.92706,             0.67835,            0.019122,           0.0047818,           0.0090421,            0.002476,            0.002476,            0.002476
                  40,            0.024702,            0.010795,           0.0078462,             0.90799,             0.88702,             0.91724,             0.67955,            0.017956,           0.0046078,           0.0087553,            0.002278,            0.002278,            0.002278
                  41,            0.023786,            0.010591,           0.0065258,             0.85222,             0.90192,             0.91802,             0.68536,            0.018967,           0.0047592,           0.0092664,             0.00208,             0.00208,             0.00208
                  42,            0.022635,            0.010437,           0.0070076,              0.8574,             0.91589,              0.9186,             0.68973,            0.017514,           0.0046801,            0.010017,            0.001882,            0.001882,            0.001882
                  43,            0.022968,            0.010456,           0.0063928,             0.91236,             0.88638,              0.9253,             0.70371,            0.017611,           0.0048078,           0.0075076,            0.001684,            0.001684,            0.001684
                  44,            0.022736,            0.010498,           0.0061844,             0.89014,             0.86487,             0.91229,             0.68574,             0.01761,           0.0047469,            0.008733,            0.001486,            0.001486,            0.001486
                  45,            0.022391,            0.010164,           0.0060412,             0.92532,             0.88571,             0.92064,             0.69176,            0.018003,           0.0048052,           0.0082754,            0.001288,            0.001288,            0.001288
                  46,            0.022215,            0.010061,           0.0055994,             0.90396,             0.88346,             0.90638,             0.68244,            0.017766,           0.0049374,            0.010876,             0.00109,             0.00109,             0.00109
                  47,            0.022702,             0.01015,           0.0062542,             0.92055,             0.88392,             0.93046,             0.70531,            0.017696,           0.0048109,           0.0096985,            0.000892,            0.000892,            0.000892
                  48,            0.021896,            0.010119,           0.0057544,             0.92547,              0.8957,             0.93374,             0.70442,            0.017691,           0.0047818,           0.0075018,            0.000694,            0.000694,            0.000694
                  49,            0.021502,            0.010053,           0.0054643,             0.93105,             0.89411,             0.92908,             0.69818,            0.017907,           0.0047863,           0.0081108,            0.000496,            0.000496,            0.000496
